S/N,METHOD,URI,MEDIA TYPE,DESCRIPTION,STATUS CODE,MODULE FUNCTION
1,GET,music/,application/json,The home/index page.,200 OK; 500 INTERNAL SERVER ERROR;,
2,GET,music/songs/,application/json,Return the list of all songs.,200 OK; 500 INTERNAL SERVER ERROR;,
3,GET,music/genres/,application/json,Return the list of all genres.,200 OK; 500 INTERNAL SERVER ERROR;,
4,GET,music/ratings/,application/json,Return the list of all ratings.,200 OK; 500 INTERNAL SERVER ERROR;,
5,GET,music/song/<id>,application/json,Returns the specific song for the selected songId.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
6,GET,music/genre/<id>,application/json,Returns the specific genre for the selected genreId.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
7,GET,music/rating/<id>,application/json,Returns the specific rating for the selected ratingId.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
8,POST,music/song/create,application/json,Creates a new song.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
9,POST,music/genre/create,application/json,Creates a new genre.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
10,POST,music/rating/create,application/json,Creates a new rating.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
11,PUT,music/song/<id>/update,application/json,Updates an existing song.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
12,PUT,music/genre/<id>/update,application/json,Updates an existing genre.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
13,PUT,music/rating/<id>/update,application/json,Updates an existing rating.,201 CREATED; 200 OK; 500 INTERNAL SERVER ERROR;,
14,DELETE,music/song/<id>/delete,application/json,Deletes an existing song.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
15,DELETE,music/genre/<id>/delete,application/json,Deletes an existing genre.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
16,DELETE,music/rating/<id>/delete,application/json,Deletes an existing rating.,200 OK; 404 NOT FOUND; 500 INTERNAL SERVER ERROR;,
